Date,TTE.PA,MC.PA,SAN.PA,BNP.PA,AIR.PA,AAPL,MSFT,NVDA,^STOXX50E
2014-01-02,21.18482208251953,103.7158203125,44.745452880859375,29.093677520751957,46.59287643432617,17.124887466430664,30.69443702697754,0.3734085857868194,
2014-01-03,21.24776268005371,103.51827239990234,45.36411285400391,29.167015075683597,46.46929168701172,16.74871826171875,30.487943649291992,0.3689351379871368,3074.429931640625
2014-01-06,21.063758850097656,101.5822525024414,45.42359924316406,29.214160919189453,45.67008209228516,16.840055465698242,29.84365463256836,0.3738794922828674,3069.159912109375
2014-01-07,21.29134559631348,100.8710479736328,45.37006378173828,30.052291870117188,46.0655632019043,16.719615936279297,30.07493782043457,0.3800007998943329,3110.9599609375
2014-01-08,21.08554077148437,99.40914154052734,44.81089019775391,30.481834411621094,45.60416793823242,16.825496673583984,29.538028717041016,0.3851806223392486,3110.659912109375
2014-01-09,20.98870277404785,97.1570281982422,44.28146743774414,29.97371482849121,45.07685852050781,16.61063575744629,29.348041534423828,0.3708186447620392,3090.260009765625
2014-01-10,21.10491180419922,99.40914154052734,44.02566909790039,30.047054290771484,45.54650115966797,16.499801635742188,29.76932144165039,0.3703479170799255,3104.14990234375
2014-01-13,20.84827423095703,99.84375,43.54384231567383,30.35611724853516,45.958457946777344,16.5861873626709,28.89375114440918,0.3616366386413574,3111.93994140625
2014-01-14,21.146072387695312,99.7647476196289,44.103004455566406,30.246112823486328,46.22211456298828,16.91621971130371,29.55454635620117,0.3729375302791595,3119.530029296875
2014-01-15,21.25986671447754,101.70075988769533,44.56698989868164,31.19948387145996,46.66702651977539,17.25583839416504,30.36403083801269,0.3769401311874389,3168.760009765625
2014-01-16,21.160606384277344,100.0808334350586,44.62648010253906,30.64421844482422,46.95541000366211,17.15955924987793,30.471410751342773,0.3781172037124634,3150.199951171875
2014-01-17,21.356714248657227,100.12034606933594,44.92391204833984,30.23563575744629,46.98835754394531,16.739124298095703,30.05015754699707,0.3764691948890686,3154.10009765625
2014-01-21,21.38092422485352,101.93785095214844,45.00124740600586,30.74899101257324,46.963645935058594,16.999189376831055,29.876689910888672,0.3778818249702453,3153.080078125
2014-01-22,21.448715209960938,101.10810089111328,45.14996337890625,30.790895462036133,47.04603958129883,17.074731826782227,29.678442001342773,0.3774110078811645,3151.27001953125
2014-01-23,21.267135620117188,99.1325912475586,44.721656799316406,30.63374710083008,45.23340606689453,17.219314575195312,29.78583526611328,0.375998318195343,3117.080078125
2014-01-24,20.76354217529297,98.14478302001952,42.84784698486328,29.685606002807617,43.48667907714844,16.906309127807617,30.40533828735352,0.3663453757762909,3028.199951171875
2014-01-27,20.51900100708008,97.39409637451172,42.9668197631836,29.858470916748047,43.47020721435547,17.043455123901367,29.76105308532715,0.3639910221099853,3014.6201171875
2014-01-28,20.698169708251957,98.06578063964844,42.95492172241211,30.4975528717041,45.17573165893555,15.681224822998049,29.95928955078125,0.3675225973129272,3038.60009765625
2014-01-29,20.51173591613769,97.47312927246094,42.47308349609375,30.38230323791504,44.12935256958008,15.503202438354492,30.28143882751465,0.3639910221099853,3011.449951171875
2014-01-30,20.765962600708008,96.80142974853516,43.65091323852539,30.528980255126957,43.83273315429688,15.473169326782228,30.44663429260254,0.3701123297214508,3027.300048828125
2014-01-31,20.50205421447754,104.427001953125,43.30589294433594,30.094202041625977,43.34661483764648,15.498554229736328,31.25613212585449,0.3696414530277252,3013.9599609375
2014-02-03,20.22362899780273,102.41197967529295,43.050106048583984,29.203685760498047,42.827545166015625,15.527347564697266,30.13275718688965,0.3646972477436065,2963.9599609375
2014-02-04,20.16068458557129,102.84657287597656,42.56231689453125,29.75894546508789,42.975852966308594,15.752115249633787,30.02538299560547,0.3668161034584045,2962.489990234375
2014-02-05,20.279319763183597,103.00464630126952,42.41359329223633,30.06800651550293,42.11897277832031,15.86976432800293,29.587587356567383,0.3635199964046478,2962.510009765625
2014-02-06,20.669113159179688,105.65184020996094,41.28336334228516,30.764705657958984,43.00881576538086,15.96226978302002,29.88496398925781,0.3682288825511932,3010.7900390625
2014-02-07,20.90638542175293,106.04695129394533,42.07452774047852,31.17329788208008,43.26422500610352,16.185579299926758,30.19883918762207,0.3736439645290375,3038.489990234375
2014-02-10,20.795011520385746,105.49384307861328,42.82404708862305,30.911378860473636,43.214786529541016,16.475543975830078,30.39707946777344,0.374821275472641,3032.530029296875
